Date,StateName,DistrictName,Avg Soilmoisture Level (at 15cm),Avg SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Perg (at 15cm),Volume Soilmoisture percg (at 15cm)
28-01-2020,MAHARASHTRA,KOLHAPUR,0,464.39,0,11.68853967
28-01-2020,MAHARASHTRA,RAIGARH,0,392.24,0,10.66531614
28-01-2020,MAHARASHTRA,AMRAVATI,0,1442.77,0,23.15019644
28-01-2020,MAHARASHTRA,NANDED,0,1382.47,0,25.43492954
28-01-2020,MAHARASHTRA,SOLAPUR,0,1297.14,0,16.89262053
28-01-2020,MAHARASHTRA,AHMADNAGAR,0,1139.77,0,13.03204396
28-01-2020,MAHARASHTRA,THANE,0,407.3,0,8.350173603
28-01-2020,MAHARASHTRA,SANGLI,0,617.47,0,13.95992684
28-01-2020,MAHARASHTRA,WARDHA,0,812.05,0,25.19284266
28-01-2020,MAHARASHTRA,BULDANA,0,790.52,0,15.85950857
28-01-2020,MAHARASHTRA,SINDHUDURG,0,289.83,0,11.01585661
27-01-2020,MAHARASHTRA,WASHIM,0,575.42,0,21.65163677
27-01-2020,MAHARASHTRA,SATARA,0,636.57,0,11.75449199
27-01-2020,MAHARASHTRA,PUNE,0,1062.3,0,13.20580339
27-01-2020,MAHARASHTRA,PARBHANI,0,629.55,0,19.37409452
27-01-2020,MAHARASHTRA,JALNA,0,614.03,0,15.4348149
27-01-2020,MAHARASHTRA,GONDIYA,0,567.11,0,20.30000463
27-01-2020,MAHARASHTRA,MUMBAI,0,0.15,0,0.200364094
27-01-2020,MAHARASHTRA,NASHIK,0,731.69,0,9.195635971
27-01-2020,MAHARASHTRA,GARHCHIROLI,0,1248.66,0,16.87807547
27-01-2020,MAHARASHTRA,RATNAGIRI,0,467.93,0,10.97213934
27-01-2020,MAHARASHTRA,OSMANABAD,0,586.09,0,15.05893657
27-01-2020,MAHARASHTRA,BID,0,860.72,0,15.18348731
27-01-2020,MAHARASHTRA,LATUR,0,563.98,0,16.2477367
27-01-2020,MAHARASHTRA,YAVATMAL,0,1262.43,0,18.23519159
27-01-2020,MAHARASHTRA,BHANDARA,0,409.75,0,20.79700023
27-01-2020,MAHARASHTRA,MUMBAI SUBURBAN,0,5.91,0,2.5466798
27-01-2020,MAHARASHTRA,NANDURBAR,0,292.59,0,9.717361663
27-01-2020,MAHARASHTRA,NAGPUR,0,1374.54,0,27.13004727
27-01-2020,MAHARASHTRA,CHANDRAPUR,0,1268.11,0,21.92793623
27-01-2020,MAHARASHTRA,JALGAON,0,912.15,0,15.17168613
27-01-2020,MAHARASHTRA,HINGOLI,0,520.18,0,21.6509391
27-01-2020,MAHARASHTRA,AKOLA,0,502.72,0,18.19825306
27-01-2020,MAHARASHTRA,AURANGABAD,0,738.82,0,14.27244625
27-01-2020,MAHARASHTRA,DHULE,0,332.02,0,9.050272834
27-01-2020,MAHARASHTRA,KOLHAPUR,0,450.95,0,11.35016604
27-01-2020,MAHARASHTRA,RAIGARH,0,388.24,0,10.55657924
27-01-2020,MAHARASHTRA,AMRAVATI,0,1454.78,0,23.34294217
27-01-2020,MAHARASHTRA,NANDED,0,1388.65,0,25.54856458
27-01-2020,MAHARASHTRA,SOLAPUR,0,1295.71,0,16.87398942
27-01-2020,MAHARASHTRA,AHMADNAGAR,0,1144.57,0,13.08691084
27-01-2020,MAHARASHTRA,THANE,0,403.12,0,8.264519368
27-01-2020,MAHARASHTRA,SANGLI,0,617.01,0,13.94964652
27-01-2020,MAHARASHTRA,WARDHA,0,822.76,0,25.52517288
27-01-2020,MAHARASHTRA,BULDANA,0,755.7,0,15.1609997
27-01-2020,MAHARASHTRA,SINDHUDURG,0,286.07,0,10.87318463
26-01-2020,MAHARASHTRA,WASHIM,0,577.4,0,21.72600871
26-01-2020,MAHARASHTRA,SATARA,0,640.22,0,11.82192818
26-01-2020,MAHARASHTRA,PUNE,0,1068.24,0,13.27962585
26-01-2020,MAHARASHTRA,PARBHANI,0,631.32,0,19.42842604
26-01-2020,MAHARASHTRA,JALNA,0,616.41,0,15.49456851
26-01-2020,MAHARASHTRA,GONDIYA,0,572.66,0,20.49867802
26-01-2020,MAHARASHTRA,MUMBAI,0,0.15,0,0.201705749
26-01-2020,MAHARASHTRA,NASHIK,0,736.69,0,9.258438121
26-01-2020,MAHARASHTRA,GARHCHIROLI,0,1260.25,0,17.03471365
26-01-2020,MAHARASHTRA,RATNAGIRI,0,469.36,0,11.00554874
26-01-2020,MAHARASHTRA,OSMANABAD,0,588.95,0,15.1324003
26-01-2020,MAHARASHTRA,BID,0,864.61,0,15.25210863
26-01-2020,MAHARASHTRA,LATUR,0,566.75,0,16.32753014
26-01-2020,MAHARASHTRA,YAVATMAL,0,1271.29,0,18.36330208
26-01-2020,MAHARASHTRA,BHANDARA,0,414.08,0,21.01653301
26-01-2020,MAHARASHTRA,MUMBAI SUBURBAN,0,5.98,0,2.577023932
26-01-2020,MAHARASHTRA,NANDURBAR,0,295.1,0,9.800706901
26-01-2020,MAHARASHTRA,NAGPUR,0,1388.73,0,27.40994824
26-01-2020,MAHARASHTRA,CHANDRAPUR,0,1281.27,0,22.1554627
26-01-2020,MAHARASHTRA,JALGAON,0,916.01,0,15.23591819
26-01-2020,MAHARASHTRA,HINGOLI,0,522.2,0,21.73509465
26-01-2020,MAHARASHTRA,AKOLA,0,504.83,0,18.27475709
26-01-2020,MAHARASHTRA,AURANGABAD,0,742.23,0,14.3382533
26-01-2020,MAHARASHTRA,DHULE,0,335.35,0,9.141085514
26-01-2020,MAHARASHTRA,KOLHAPUR,0,452.64,0,11.39275989
26-01-2020,MAHARASHTRA,RAIGARH,0,389.53,0,10.5918781
26-01-2020,MAHARASHTRA,AMRAVATI,0,1462.7,0,23.46999791
26-01-2020,MAHARASHTRA,NANDED,0,1396.5,0,25.693082
26-01-2020,MAHARASHTRA,SOLAPUR,0,1301.53,0,16.94980169
