Date,StateName,DistrictName,Evapo Level (mm),Evapo Volume (Tmcft),Aggregate Evapo Level (mm),Aggregate Evapo Volume (Tmcft)
27-01-2020,MAHARASHTRA,RATNAGIRI,1.021513084,0.290432937,0.477922387,0.135881179
27-01-2020,MAHARASHTRA,OSMANABAD,0.327372274,0.084941321,0.148685975,0.038578658
27-01-2020,MAHARASHTRA,BID,0.296347407,0.111995391,0.143265441,0.054142769
27-01-2020,MAHARASHTRA,LATUR,0.267001431,0.06178649,0.130970423,0.030307713
27-01-2020,MAHARASHTRA,YAVATMAL,0.597281028,0.275665836,0.26093477,0.120430414
27-01-2020,MAHARASHTRA,BHANDARA,0.813500109,0.106853155,0.323474431,0.042488333
27-01-2020,MAHARASHTRA,MUMBAI SUBURBAN,0.266011523,0.004117227,0.026844252,0.000415485
27-01-2020,MAHARASHTRA,NANDURBAR,0.467085287,0.093760591,0.183850729,0.036905365
27-01-2020,MAHARASHTRA,NAGPUR,0.904692531,0.305575187,0.306963299,0.10368204
27-01-2020,MAHARASHTRA,CHANDRAPUR,0.919082176,0.354342695,0.362356709,0.139702908
27-01-2020,MAHARASHTRA,JALGAON,0.332722888,0.13335946,0.125924452,0.050472082
27-01-2020,MAHARASHTRA,HINGOLI,0.406726959,0.065145839,0.161857792,0.025924915
27-01-2020,MAHARASHTRA,AKOLA,0.360809625,0.066448278,0.181001787,0.033334081
27-01-2020,MAHARASHTRA,AURANGABAD,0.389800746,0.134522146,0.174902536,0.060359722
27-01-2020,MAHARASHTRA,DHULE,0.395682398,0.096772853,0.140619798,0.034391672
27-01-2020,MAHARASHTRA,KOLHAPUR,0.565230527,0.149713102,0.124431911,0.032958389
27-01-2020,MAHARASHTRA,RAIGARH,0.676837637,0.165945837,0.138324834,0.033914235
27-01-2020,MAHARASHTRA,AMRAVATI,0.41236214,0.171328581,0.185733114,0.077168556
27-01-2020,MAHARASHTRA,NANDED,0.580162946,0.210224634,0.227223007,0.082335271
27-01-2020,MAHARASHTRA,SOLAPUR,0.358118996,0.183327121,0.188997408,0.096750944
27-01-2020,MAHARASHTRA,AHMADNAGAR,0.343898009,0.200512992,0.173803371,0.101337701
27-01-2020,MAHARASHTRA,THANE,0.57696808,0.187621456,0.146659358,0.047691446
27-01-2020,MAHARASHTRA,SANGLI,0.35599721,0.104975458,0.166846682,0.049199281
